driver_name,nationality,year,grid,position,points,laps,milliseconds,fastestLapSpeed,statusId,finished,podium
Fernando Alonso,Spanish,2010,4.0,8.0,4.0,57,6062380.0,195.3,1,1,0
Sébastien Buemi,Swiss,2010,11.0,9.0,2.0,57,6065870.0,194.92,1,1,0
Nico Rosberg,German,2010,12.0,10.0,1.0,57,6073953.0,195.322,1,1,0
Felipe Massa,Brazilian,2010,5.0,11.0,0.0,57,6076192.0,194.679,1,1,0
Pedro de la Rosa,Spanish,2010,16.0,12.0,0.0,57,6076985.0,194.248,1,1,0
Jaime Alguersuari,Spanish,2010,17.0,13.0,0.0,57,6077810.0,194.448,1,1,0
Vitaly Petrov,Russian,2010,10.0,14.0,0.0,57,6077858.0,194.889,1,1,0
Michael Schumacher,German,2010,15.0,15.0,0.0,57,6078397.0,197.118,1,1,0
Vitantonio Liuzzi,Italian,2010,14.0,16.0,0.0,57,6080461.0,194.49,1,1,0
Lucas di Grassi,Brazilian,2010,21.0,17.0,0.0,56,,190.485,11,0,0
Karun Chandhok,Indian,2010,23.0,18.0,0.0,55,,187.905,12,0,0
Timo Glock,German,2010,22.0,19.0,0.0,55,,190.662,12,0,0
Bruno Senna,Brazilian,2010,24.0,20.0,0.0,55,,189.536,12,0,0
Jarno Trulli,Italian,2010,19.0,21.0,0.0,53,,191.691,14,0,0
Mark Webber,Australian,2010,2.0,1.0,25.0,52,5078200.0,229.608,1,1,1
Lewis Hamilton,British,2010,4.0,2.0,18.0,52,5079560.0,228.633,1,1,1
Nico Rosberg,German,2010,5.0,3.0,15.0,52,5099507.0,228.156,1,1,1
Jenson Button,British,2010,14.0,4.0,12.0,52,5100186.0,228.031,1,1,0
Rubens Barrichello,Brazilian,2010,8.0,5.0,10.0,52,5109656.0,226.54,1,1,0
Kamui Kobayashi,Japanese,2010,12.0,6.0,8.0,52,5110371.0,226.678,1,1,0
Sebastian Vettel,German,2010,1.0,7.0,6.0,52,5114934.0,230.6,1,1,0
Adrian Sutil,German,2010,11.0,8.0,4.0,52,5119132.0,224.806,1,1,0
